PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
862,3,1559,1,3,0,1,1,1,1,1,0,0
863,3,1839,1,3,0,1,0,0,0,0,0,0
2708,4,2500,3,4,1,0,0,0,1,0,1,0
3531,4,1900,4,3,0,1,0,1,1,0,0,1
1102,2,986,2,2,0,0,0,0,0,0,0,0
168,3,1409,1,3,0,0,0,1,1,0,0,0
3945,3,1920,4,3,0,1,1,1,1,1,0,1
6865,4,950,6,2,1,0,0,0,0,0,0,0
1791,2,994,2,2,0,1,0,0,1,0,0,0
4923,2,1027,5,2,0,5,5,5,5,5,5,5
2445,1,855,3,3,1,0,0,0,0,0,0,0
7333,4,600,6,1,1,0,0,0,0,0,0,0
5447,3,720,5,2,1,5,5,5,5,5,5,5
292,1,1095,1,2,0,1,0,0,1,0,0,1
633,2,1173,1,2,0,1,0,1,1,0,0,1
6692,1,650,6,1,0,1,0,0,0,0,0,0
431,3,1743,1,3,0,1,0,0,1,0,0,1
6312,4,2600,6,3,0,1,1,1,1,0,0,1
7357,1,440,6,1,0,0,0,0,0,0,0,0
58,2,1187,1,2,0,1,0,1,1,0,0,1
199,3,1273,1,2,0,1,0,1,1,0,0,1
4142,4,3434,4,4,0,1,0,1,1,0,1,1
2922,1,500,3,2,1,0,0,0,0,0,0,0
6474,1,730,6,1,1,0,0,0,0,0,0,0
7309,4,2195,6,3,0,1,1,0,1,0,0,0
2734,2,820,3,3,0,0,0,0,0,0,0,0
6027,1,1680,5,3,1,5,5,5,5,5,5,5
1981,2,650,3,3,0,0,0,0,0,0,0,0
4119,2,1199,4,2,0,1,1,1,1,0,0,1
3909,1,1096,4,2,0,0,0,0,1,0,0,0
2774,2,625,3,2,1,0,0,0,0,0,0,0
1271,3,1367,2,3,0,1,0,0,1,0,0,1
1836,4,1500,3,3,1,0,0,0,0,0,0,0
894,4,1830,1,3,0,1,0,1,1,0,0,1
2714,1,650,3,2,0,0,0,0,0,0,0,0
1265,2,784,2,2,0,0,0,0,1,0,0,0
2164,4,1600,3,3,1,0,0,0,1,0,0,0
7713,4,1000,6,2,1,5,5,5,5,5,5,5
3163,2,1300,4,3,0,0,0,0,1,0,0,0
1835,4,1800,3,4,1,1,0,1,1,0,0,0
5041,2,1410,5,3,1,5,5,5,5,5,5,5
6698,4,1500,6,2,1,0,0,0,1,0,0,1
4223,3,1652,4,3,0,1,0,1,1,0,0,1
485,1,823,1,2,0,1,0,0,1,0,0,0
1015,2,1185,1,2,0,1,0,1,1,0,0,1
882,2,935,1,2,0,1,0,1,1,0,0,1
6308,1,415,6,1,0,0,0,0,0,0,0,0
2990,2,950,3,3,1,0,0,0,0,0,0,0
4639,1,1163,5,3,0,5,5,5,5,5,5,5
155,3,1486,1,3,0,1,0,1,1,0,0,1
6394,1,545,6,1,1,0,0,0,0,0,0,0
1821,4,1506,2,3,0,0,0,1,1,0,0,1
4067,3,1700,4,3,0,1,0,0,1,0,0,0
5017,3,1845,5,3,1,5,5,5,5,5,5,5
5877,1,800,5,2,1,5,5,5,5,5,5,5
6177,3,1050,6,2,1,0,1,0,0,1,0,1
